episode,model,reward,length,success,picks,start_time,seed,collisions,rrt_failures,pick_failures,successful_picks,unreachable_cubes,optimal_steps,total_cubes,duration,total_rrt_path_length,avg_rrt_path_length,total_rrt_optimal_path_length,avg_rrt_optimal_path_length,avg_rrt_planning_time,rrt_success_rate,unattempted_picks,path_efficiency,unique_actions,action_diversity_ratio,action_entropy
1,Custom-DDQN,173.86216459601044,9,1,9,1767796721.6198802,1042,0,0,0,9,0,9,9,5.888531923294067,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
2,Custom-DDQN,169.7284605144929,9,1,9,1767796727.5144024,1043,0,0,0,9,0,9,9,7.045759439468384,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
3,Custom-DDQN,198.4748747783267,9,1,9,1767796734.5616612,1044,0,0,0,9,0,9,9,3.962067127227783,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
4,Custom-DDQN,123.7967283698363,8,0,8,1767796738.5247414,1045,0,0,1,8,1,9,9,76.6334445476532,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,8,1.0,2.9999999988458437
5,Custom-DDQN,167.30881922525617,9,1,9,1767796815.1612108,1046,0,0,0,9,0,9,9,6.849283456802368,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
6,Custom-DDQN,106.7523625652876,7,0,7,1767796822.011817,1047,0,0,2,7,2,9,9,141.88259196281433,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,7,1.0,2.8073549210477178
7,Custom-DDQN,195.8105879656179,9,1,9,1767796963.8964279,1048,0,0,0,9,0,9,9,5.6649556159973145,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
8,Custom-DDQN,168.46862913297852,9,1,9,1767796969.5633829,1049,0,0,0,9,0,9,9,4.384533405303955,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
9,Custom-DDQN,144.54143444019365,8,0,8,1767796973.9494224,1050,0,0,1,8,1,9,9,73.55068469047546,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,8,1.0,2.9999999988458437
10,Custom-DDQN,136.77262358835208,8,0,8,1767797047.5046103,1051,0,0,1,8,1,9,9,65.4748911857605,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,8,1.0,2.9999999988458437
1,Duel-DDQN,140.19384280720192,9,1,9,1767797113.0336683,2042,0,0,0,9,0,9,9,6.1884918212890625,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
2,Duel-DDQN,177.27952531327716,9,1,9,1767797119.2236521,2043,0,0,0,9,0,9,9,4.503209114074707,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
3,Duel-DDQN,152.2411301382415,8,0,8,1767797123.729859,2044,0,0,1,8,1,9,9,62.42661738395691,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,8,1.0,2.9999999988458437
4,Duel-DDQN,170.57449847566696,9,1,9,1767797186.1574767,2045,0,0,0,9,0,9,9,5.380691766738892,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
5,Duel-DDQN,165.3695684973563,9,1,9,1767797191.5391665,2046,0,0,0,9,0,9,9,9.029912948608398,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
6,Duel-DDQN,159.65415519844277,9,1,9,1767797200.5705798,2047,0,0,0,9,0,9,9,4.612165212631226,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
7,Duel-DDQN,169.8822275517378,8,0,8,1767797205.189766,2048,0,0,1,8,1,9,9,72.83677959442139,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,8,1.0,2.9999999988458437
8,Duel-DDQN,118.08506914249648,8,0,8,1767797278.0280454,2049,0,0,1,8,1,9,9,73.58005237579346,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,8,1.0,2.9999999988458437
9,Duel-DDQN,160.08021684415618,9,1,9,1767797351.6111405,2050,0,0,0,9,0,9,9,7.543376684188843,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
10,Duel-DDQN,168.05851706495417,9,1,9,1767797359.1570501,2051,0,0,0,9,0,9,9,9.947668313980103,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
1,PER-DDQN-Light,154.03156088595986,9,1,9,1767797369.221042,3042,0,0,0,9,0,9,9,10.171232461929321,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
2,PER-DDQN-Light,164.86162373779186,9,1,9,1767797379.3974164,3043,0,0,0,9,0,9,9,9.172662734985352,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
3,PER-DDQN-Light,179.55708495010845,9,1,9,1767797388.5715792,3044,0,0,0,9,0,9,9,6.097455263137817,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
4,PER-DDQN-Light,170.70326209835633,9,1,9,1767797394.676587,3045,0,0,0,9,0,9,9,9.850626945495605,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
5,PER-DDQN-Light,161.58834880845444,9,1,9,1767797404.5388489,3046,0,0,0,9,0,9,9,12.56153655052185,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
6,PER-DDQN-Light,186.25468299997493,9,1,9,1767797417.1038842,3047,0,0,0,9,0,9,9,8.929856538772583,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
7,PER-DDQN-Light,158.21159083750166,9,1,9,1767797426.0392673,3048,0,0,0,9,0,9,9,6.8963892459869385,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
8,PER-DDQN-Light,181.61324061591802,9,1,9,1767797432.9477015,3049,0,0,0,9,0,9,9,5.892029047012329,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
9,PER-DDQN-Light,109.10018270621308,7,0,7,1767797438.8443348,3050,0,0,2,7,2,9,9,118.78137922286987,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,7,1.0,2.8073549210477178
10,PER-DDQN-Light,127.98234700277466,9,1,9,1767797557.631221,3051,0,0,0,9,0,9,9,12.91454815864563,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
1,PER-DDQN-Full,166.1290475243233,9,1,9,1767797570.6703296,4042,0,0,0,9,0,9,9,11.82457184791565,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
2,PER-DDQN-Full,184.0412307539322,9,1,9,1767797582.4963927,4043,0,0,0,9,0,9,9,14.196175813674927,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
3,PER-DDQN-Full,97.29303188788207,6,0,6,1767797596.704317,4044,0,0,3,6,3,9,9,154.06149673461914,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,6,1.0,2.584962499855539
4,PER-DDQN-Full,161.0854380383526,9,1,9,1767797750.7673275,4045,0,0,0,9,0,9,9,2.906977415084839,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
5,PER-DDQN-Full,164.94438599211531,8,0,8,1767797753.6753082,4046,0,0,1,8,1,9,9,67.17120051383972,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,8,1.0,2.9999999988458437
6,PER-DDQN-Full,145.6742659429779,9,1,9,1767797820.8479195,4047,0,0,0,9,0,9,9,5.387606620788574,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
7,PER-DDQN-Full,157.4089493601969,9,1,9,1767797826.2370274,4048,0,0,0,9,0,9,9,3.6555655002593994,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
8,PER-DDQN-Full,159.7507023395223,9,1,9,1767797829.8935928,4049,0,0,0,9,0,9,9,2.5254058837890625,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
9,PER-DDQN-Full,147.45797628271418,9,1,9,1767797832.420503,4050,0,0,0,9,0,9,9,4.7957823276519775,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
10,PER-DDQN-Full,144.095762157444,9,1,9,1767797837.2178192,4051,0,0,0,9,0,9,9,3.948397159576416,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
1,C51-DDQN,181.48334457037254,9,1,9,1767797841.2006097,5042,0,0,0,9,0,9,9,2.608100175857544,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
2,C51-DDQN,164.16180193740456,9,1,9,1767797843.8102024,5043,0,0,0,9,0,9,9,4.870395183563232,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
3,C51-DDQN,202.16893039927388,9,1,9,1767797848.682612,5044,0,0,0,9,0,9,9,1.7341570854187012,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
4,C51-DDQN,152.61229734467713,9,1,9,1767797850.4172623,5045,0,0,0,9,0,9,9,2.2693088054656982,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
5,C51-DDQN,189.53419271791802,9,1,9,1767797852.6880696,5046,0,0,0,9,0,9,9,3.6541593074798584,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
6,C51-DDQN,174.47626050560936,9,1,9,1767797856.343744,5047,0,0,0,9,0,9,9,4.014319181442261,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
7,C51-DDQN,185.15348903481743,9,1,9,1767797860.3590605,5048,0,0,0,9,0,9,9,2.7734975814819336,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
8,C51-DDQN,142.3625027187684,8,0,8,1767797863.1366503,5049,0,0,1,8,1,9,9,71.111154794693,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,8,1.0,2.9999999988458437
9,C51-DDQN,157.8551473290142,9,1,9,1767797934.248808,5050,0,0,0,9,0,9,9,2.945582628250122,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
10,C51-DDQN,163.26073309291402,9,1,9,1767797937.1953948,5051,0,0,0,9,0,9,9,8.2061448097229,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
1,SAC-Discrete,152.0628894719993,9,1,9,1767797945.4568665,6042,0,0,0,9,0,9,9,6.855790615081787,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
2,SAC-Discrete,146.0972394462966,9,1,9,1767797952.3146598,6043,0,0,0,9,0,9,9,6.626887798309326,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
3,SAC-Discrete,160.9955704421075,9,1,9,1767797958.9430416,6044,0,0,0,9,0,9,9,7.503918170928955,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
4,SAC-Discrete,172.29828162416743,9,1,9,1767797966.4484632,6045,0,0,0,9,0,9,9,4.954086780548096,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
5,SAC-Discrete,121.96176102061773,7,0,7,1767797971.407482,6046,0,0,2,7,2,9,9,144.22777438163757,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,7,1.0,2.8073549210477178
6,SAC-Discrete,122.86819437740166,8,0,8,1767798115.6377552,6047,0,0,1,8,1,9,9,68.84470534324646,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,8,1.0,2.9999999988458437
7,SAC-Discrete,144.6868415422829,9,1,9,1767798184.4839697,6048,0,0,0,9,0,9,9,7.235154867172241,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
8,SAC-Discrete,174.19187958841314,9,1,9,1767798191.7211392,6049,0,0,0,9,0,9,9,3.3626708984375,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
9,SAC-Discrete,145.9551572285111,8,0,8,1767798195.087877,6050,0,0,1,8,1,9,9,84.58709073066711,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,8,1.0,2.9999999988458437
10,SAC-Discrete,177.95310179105994,9,1,9,1767798279.6874962,6051,0,0,0,9,0,9,9,4.15493106842041,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
1,PPO-Discrete,167.3125303721034,9,1,9,1767798283.9161158,7042,0,0,0,9,0,9,9,7.6945579051971436,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
2,PPO-Discrete,135.61394190353855,8,0,8,1767798291.6200173,7043,0,0,1,8,1,9,9,87.06269526481628,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,8,1.0,2.9999999988458437
3,PPO-Discrete,182.34107216937343,9,1,9,1767798378.684221,7044,0,0,0,9,0,9,9,4.69741415977478,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
4,PPO-Discrete,147.33618364381738,8,0,8,1767798383.3851333,7045,0,0,1,8,1,9,9,83.60173487663269,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,8,1.0,2.9999999988458437
5,PPO-Discrete,134.14004613999828,8,0,8,1767798466.9943323,7046,0,0,1,8,1,9,9,78.11166620254517,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,8,1.0,2.9999999988458437
6,PPO-Discrete,166.98694634284539,9,1,9,1767798545.1075099,7047,0,0,0,9,0,9,9,4.902879238128662,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
7,PPO-Discrete,160.10473101625564,9,1,9,1767798550.012399,7048,0,0,0,9,0,9,9,5.597224235534668,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
8,PPO-Discrete,183.78843518163447,9,1,9,1767798555.617123,7049,0,0,0,9,0,9,9,5.970067739486694,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
9,PPO-Discrete,132.6356253659705,8,0,8,1767798561.5921924,7050,0,0,1,8,1,9,9,83.8755795955658,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,8,1.0,2.9999999988458437
10,PPO-Discrete,159.40869198548475,9,1,9,1767798645.469778,7051,0,0,0,9,0,9,9,4.590055227279663,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
